city,candidate,candidate_party,ticket,ticket_percentage,elected
臺北市,宋楚瑜,親民黨,70769,4.34,False
臺北市,韓國瑜,中國國民黨,685830,42.01,False
臺北市,蔡英文,民主進步黨,875854,53.65,True
新北市,宋楚瑜,親民黨,112620,4.57,False
新北市,韓國瑜,中國國民黨,959631,38.91,False
新北市,蔡英文,民主進步黨,1393936,56.52,True
桃園市,宋楚瑜,親民黨,63132,4.82,False
桃園市,韓國瑜,中國國民黨,529749,40.4,False
桃園市,蔡英文,民主進步黨,718260,54.78,True
臺中市,宋楚瑜,親民黨,84800,4.99,False
臺中市,韓國瑜,中國國民黨,646366,38.06,False
臺中市,蔡英文,民主進步黨,967304,56.95,True
臺南市,宋楚瑜,親民黨,41075,3.52,False
臺南市,韓國瑜,中國國民黨,339702,29.1,False
臺南市,蔡英文,民主進步黨,786471,67.38,True
高雄市,宋楚瑜,親民黨,55309,3.14,False
高雄市,韓國瑜,中國國民黨,610896,34.63,False
高雄市,蔡英文,民主進步黨,1097621,62.23,True
宜蘭縣,宋楚瑜,親民黨,10739,3.91,False
宜蘭縣,韓國瑜,中國國民黨,90010,32.8,False
宜蘭縣,蔡英文,民主進步黨,173657,63.28,True
新竹縣,宋楚瑜,親民黨,18435,5.67,False
新竹縣,韓國瑜,中國國民黨,154224,47.45,False
新竹縣,蔡英文,民主進步黨,152380,46.88,True
苗栗縣,宋楚瑜,親民黨,15222,4.66,False
苗栗縣,韓國瑜,中國國民黨,164345,50.32,False
苗栗縣,蔡英文,民主進步黨,147034,45.02,True
彰化縣,宋楚瑜,親民黨,35060,4.59,False
彰化縣,韓國瑜,中國國民黨,291835,38.24,False
彰化縣,蔡英文,民主進步黨,436336,57.17,True
南投縣,宋楚瑜,親民黨,13315,4.45,False
南投縣,韓國瑜,中國國民黨,133791,44.72,False
南投縣,蔡英文,民主進步黨,152046,50.83,True
雲林縣,宋楚瑜,親民黨,15331,3.83,False
雲林縣,韓國瑜,中國國民黨,138341,34.6,False
雲林縣,蔡英文,民主進步黨,246116,61.56,True
嘉義縣,宋楚瑜,親民黨,11138,3.62,False
嘉義縣,韓國瑜,中國國民黨,98810,32.16,False
嘉義縣,蔡英文,民主進步黨,197342,64.22,True
屏東縣,宋楚瑜,親民黨,14021,2.74,False
屏東縣,韓國瑜,中國國民黨,179353,35.1,False
屏東縣,蔡英文,民主進步黨,317676,62.16,True
臺東縣,宋楚瑜,親民黨,4163,3.6,False
臺東縣,韓國瑜,中國國民黨,67413,58.28,False
臺東縣,蔡英文,民主進步黨,44092,38.12,True
花蓮縣,宋楚瑜,親民黨,6869,3.71,False
花蓮縣,韓國瑜,中國國民黨,111834,60.38,False
花蓮縣,蔡英文,民主進步黨,66509,35.91,True
澎湖縣,宋楚瑜,親民黨,2583,5.07,False
澎湖縣,韓國瑜,中國國民黨,20911,41.08,False
澎湖縣,蔡英文,民主進步黨,27410,53.85,True
基隆市,宋楚瑜,親民黨,11878,5.25,False
基隆市,韓國瑜,中國國民黨,99360,43.92,False
基隆市,蔡英文,民主進步黨,114966,50.82,True
新竹市,宋楚瑜,親民黨,14103,5.4,False
新竹市,韓國瑜,中國國民黨,102725,39.34,False
新竹市,蔡英文,民主進步黨,144274,55.26,True
嘉義市,宋楚瑜,親民黨,6204,3.84,False
嘉義市,韓國瑜,中國國民黨,56269,34.79,False
嘉義市,蔡英文,民主進步黨,99265,61.37,True
連江縣,宋楚瑜,親民黨,188,3.04,False
連江縣,韓國瑜,中國國民黨,4776,77.16,False
連江縣,蔡英文,民主進步黨,1226,19.81,True
金門縣,宋楚瑜,親民黨,1636,3.41,False
金門縣,韓國瑜,中國國民黨,35948,74.83,False
金門縣,蔡英文,民主進步黨,10456,21.77,True
